origin_country,destination_country,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,placement_status
India,UK,Business,-1.8524366544718094,Yes,Scholarship,-0.8298484698404998,0.6066180505412531,Tier 4,PSW,TOEFL,-0.04079984639207984,1
Canada,Canada,Arts,-1.8291332173819748,Yes,Job Opportunities,-1.5913165433226226,1.2924447926881986,Student Visa,Blue Card,TOEFL,-2.4238730116375393,0
Finland,Germany,Business,0.03185041502254576,No,Job Opportunities,-0.15176920671793168,2.1494094909620096,F1,Work Permit,TOEFL,1.109991066504417,1
Finland,UK,Social Sciences,0.014742324895058072,No,Quality of Life,0.6734295441278749,0.5627913770742546,F1,OPT,None,-2.5245422478414445,1
South Africa,Canada,Social Sciences,0.9744770822752841,No,Political Stability,1.5754520149933517,0.6798855696865584,F1,Work Permit,IELTS,0.06527595710733727,1
Germany,Finland,Arts,0.9770568875944345,No,Quality of Life,1.5557254628293122,1.8757703739422276,F1,Blue Card,None,1.3742218116813314,1
UAE,India,Natural Sciences,0.9454286869252796,No,Political Stability,0.7828064186273842,0.32434233732837203,J1,Blue Card,PTE,0.3315490332266211,0
South Africa,UAE,Social Sciences,-0.9578670980183119,Yes,Quality of Life,-1.6137872774774602,1.2539688898991719,F1,OPT,TOEFL,1.0743943012518098,0
Russia,Canada,Computer Science,1.8668955115357324,No,Job Opportunities,1.553448844711657,-0.8507000330557335,F1,Work Permit,IELTS,0.6843039997505913,0
USA,Canada,Engineering,0.8709064158736063,Yes,Political Stability,0.7209215372750029,1.2957225959516723,Tier 4,OPT,IELTS,-2.3801207331282326,1
Germany,Canada,Natural Sciences,0.06776354892824024,No,Political Stability,0.7556736107956759,2.13342557923606,Student Visa,Post-Study Visa,PTE,0.24150819238742244,0
Ireland,UAE,Arts,0.03566846344023838,No,Higher Ranking,-0.09678761914893667,1.819254007402803,Tier 4,OPT,Duolingo,-2.444302801945488,1
Canada,UAE,Natural Sciences,-1.889120266530687,No,Quality of Life,-2.393385135721818,0.30492584656946214,Tier 4,PSW,Duolingo,-0.08784668351791482,1
Russia,UK,Business,0.8723532353493173,No,Scholarship,1.5075328556589394,1.7919837448450042,F1,OPT,IELTS,0.12596125695543933,1
South Africa,UAE,Law,0.9509365233569481,No,Higher Ranking,1.5393720027323856,-1.7905939699218412,Schengen Student Visa,Blue Card,None,-2.462250024408469,1
Germany,South Africa,Computer Science,-0.9621016071481533,Yes,Scholarship,-1.5211855085500061,-1.5200660962604549,F1,Blue Card,Duolingo,0.18904363114282324,0
Canada,India,Engineering,-1.817451227312735,No,Political Stability,-1.515091997229858,-1.3176450721806523,Schengen Student Visa,OPT,IELTS,1.0942959983977198,0
Canada,USA,Medicine,-1.8320113193457868,Yes,Quality of Life,-0.8020060740443358,1.6760561293537377,F1,OPT,TOEFL,-0.11337845022589142,1
UAE,UK,Computer Science,-0.9423693685868049,Yes,Scholarship,-0.0510704845670331,-0.594379176250682,Student Visa,PSW,IELTS,0.6522540401633017,0
Russia,Canada,Computer Science,1.8319485009439398,Yes,Job Opportunities,2.399088781056514,1.393693955132291,J1,OPT,IELTS,-2.4262388170982505,1
South Africa,India,Natural Sciences,1.7986223882882997,Yes,Job Opportunities,2.3147089124113696,-1.7550398330758068,Study Permit,OPT,Duolingo,0.6357260025045728,0
Russia,USA,Social Sciences,-0.9280645606679444,Yes,Job Opportunities,-1.6398311067501596,-2.0277910067115963,Tier 4,Post-Study Visa,PTE,0.13362205492943688,1
UAE,Finland,Computer Science,1.757175439645555,Yes,Higher Ranking,0.7121081733100878,0.6935137335406377,Study Permit,OPT,Duolingo,0.64116810279729,1
UAE,Canada,Engineering,0.9355761883133257,No,Higher Ranking,-0.06387586317726386,2.013393084178799,Schengen Student Visa,Post-Study Visa,TOEFL,0.3996412076503184,0
India,USA,Social Sciences,0.9097084807615787,Yes,Political Stability,-0.051081565158519665,-0.6474101711350004,Schengen Student Visa,Blue Card,PTE,0.015640404448144754,0
UAE,Finland,Arts,0.8686256970594626,Yes,Higher Ranking,0.7604261027736959,-0.39358585879892655,Study Permit,PSW,TOEFL,1.0175959061354565,1
Russia,Finland,Engineering,0.0172872798479088,Yes,Political Stability,-0.04384505206257845,1.0905037874157193,Study Permit,Work Permit,IELTS,-0.09749081820201323,0
Ireland,Russia,Social Sciences,1.9341563529990682,Yes,Job Opportunities,2.340438662588229,-0.7608230860602259,Tier 4,Post-Study Visa,TOEFL,1.274073879023846,0
Germany,India,Arts,-1.8300868630243479,Yes,Higher Ranking,-1.666620587455539,-0.7450701549328893,Tier 4,Work Permit,IELTS,1.2279160873986863,0
USA,Finland,Business,-0.013707643832879493,No,Job Opportunities,0.011559283401856683,1.473031204960772,F1,Post-Study Visa,TOEFL,1.4725899680659902,0
UK,Russia,Computer Science,-0.9153907743033314,Yes,Political Stability,-0.08248517491342332,0.14395480207787814,Tier 4,Post-Study Visa,PTE,0.018002666576896496,1
USA,Finland,Law,-0.9702431056803479,Yes,Political Stability,-1.5250639162212538,-1.2843079872859482,Study Permit,OPT,Duolingo,-0.04807769080772449,0
Russia,Germany,Computer Science,1.769848373059906,Yes,Political Stability,2.225417263339792,-2.1938477815809674,Tier 4,Blue Card,None,-2.5084312793207255,1
Canada,Finland,Business,1.9356992546546268,No,Political Stability,0.6750144456828466,1.0120103792255284,Tier 4,Blue Card,TOEFL,1.218287909111686,0
India,India,Natural Sciences,-0.06455932619749208,No,Job Opportunities,-0.014515678640145812,-1.894959530275212,Tier 4,PSW,TOEFL,1.2261747143722803,0
Russia,Russia,Arts,0.9313809921196865,Yes,Political Stability,1.522526210802648,-2.2757461809528228,Study Permit,Post-Study Visa,TOEFL,-0.11890258914486042,1
India,Germany,Business,1.8057116232386927,Yes,Quality of Life,1.538969191655777,-1.5956046173537675,Tier 4,OPT,IELTS,0.7615273072178993,1
USA,UAE,Medicine,-1.8603901304516477,No,Higher Ranking,-2.404444634104624,0.9098885211402263,Schengen Student Visa,Blue Card,TOEFL,0.720020372681654,1
UK,Canada,Business,-0.9259413080086906,No,Quality of Life,-0.006496367160767978,-0.9819805379055737,J1,Blue Card,Duolingo,0.8753086349973365,1
Germany,South Africa,Arts,0.9612185846543294,No,Higher Ranking,1.6663068446362075,-0.5227512211565446,F1,Work Permit,PTE,1.2497063598184326,1
UK,Russia,Natural Sciences,-1.8949208142492515,No,Higher Ranking,-2.35601505490804,2.0454271315324477,F1,Work Permit,None,1.1661303286854459,1
